"('updated to: ', Timestamp('2019-12-09 11:31:00'))",Name,PTS,REB,AST,STL,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%
254,Goga Bitadze,4.1,3.1,0.8,0.1,1.1,1.5,3.4,45.6,0.2,0.8,28.6,0.8,1.1,73.7
255,Darius Bazley,4.1,3.6,0.5,0.4,0.4,1.5,3.8,39.8,0.7,1.9,35.7,0.4,0.7,56.3
256,Carsen Edwards,4.0,1.8,0.9,0.4,0.1,1.3,4.2,31.3,0.8,2.5,31.3,0.6,0.7,84.6
257,Chris Silva,3.9,4.0,0.6,0.2,0.7,1.4,2.1,65.9,0.0,0.1,0.0,1.1,1.6,70.6
258,Robert Williams III,3.9,4.6,1.1,0.9,1.1,1.7,2.6,67.3,0.0,0.0,0.0,0.4,0.7,57.1
259,Jerome Robinson,3.8,1.6,1.0,0.4,0.4,1.5,4.5,32.9,0.6,2.1,28.2,0.3,0.5,50.0
260,Isaac Bonga,3.8,2.5,1.4,0.6,0.2,1.5,2.9,51.0,0.2,0.8,30.8,0.6,0.8,76.9
261,Anthony Tolliver,3.3,3.1,0.6,0.2,0.4,1.0,3.4,29.3,0.8,2.7,28.3,0.5,0.6,81.8
262,Thon Maker,3.3,1.8,0.4,0.3,0.6,1.1,2.0,53.5,0.3,0.7,50.0,0.8,1.5,51.6
263,Alfonzo McKinnie,3.1,2.2,0.2,0.3,0.2,1.1,3.0,35.4,0.5,1.5,33.3,0.4,0.7,63.6
264,Javonte Green,3.0,1.0,0.3,0.3,0.1,1.3,2.3,58.8,0.2,0.7,30.0,0.1,0.3,40.0
265,Semi Ojeleye,2.9,1.9,0.4,0.3,0.0,1.0,2.4,41.2,0.5,1.5,35.5,0.3,0.5,70.0
266,Matthew Dellavedova,2.6,1.3,2.1,0.4,0.1,0.9,3.1,29.0,0.2,1.8,11.4,0.6,0.7,92.3
267,Terance Mann,2.5,1.2,1.2,0.3,0.1,1.0,2.1,48.7,0.1,0.5,22.2,0.4,0.4,87.5
268,Thabo Sefolosha,2.1,2.4,0.8,0.5,0.2,0.8,2.4,34.8,0.4,1.5,28.6,0.0,0.1,0.0
269,Grant Williams,2.1,2.2,0.9,0.4,0.6,0.7,2.9,24.6,0.0,1.3,0.0,0.7,0.9,82.4
270,Tyson Chandler,1.7,2.7,0.3,0.3,0.4,0.7,0.9,76.5,0.0,0.0,0.0,0.3,0.5,55.6
