"Player","FG","FGA","3P","3PA","FT","FTA","TRB","AST","STL","BLK","TOV","PF","FG%","3P%","FT%"
"Dairis Bertāns",11.7,1.9,6.1,1.3,1.7,1,2.9,0.7,0.4,1.3,2.3,11.9,0.316,0.765,
"Dāvis Bertāns",10.7,3.1,7.5,1.3,1.5,0.6,2.4,0.8,0.8,1.1,3,14,0.413,0.848,
"Patrick Beverley",8.8,1.9,4.9,1.6,2.1,1.4,4.8,1.2,0.7,1.6,4.3,10.8,0.39,0.779,
"Khem Birch",9,0.3,0.7,3,4.2,4,2.4,1,1.4,1.3,3.7,13.3,0.343,0.706,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Bismack Biyombo",8.1,0.1,0.4,2.6,4,3.4,1.7,0.6,1.9,1.8,4.1,11.3,0.349,0.634,
"Nemanja Bjelica",11.4,2,5.1,1.4,1.8,2.1,2.8,1.1,0.9,1.6,3.9,14,0.393,0.765,
"Antonio Blakeney",16.5,1.6,4.3,2.5,3.5,0.5,2.2,0.7,0.4,1.5,2,18.1,0.378,0.701,
"Eric Bledsoe",15.4,1.9,5.7,3.4,4.4,1.1,6.3,1.9,0.5,2.9,2.6,19.9,0.334,0.779,
"Jaron Blossomgame",10,1.1,3.6,1.3,1.7,2,1.8,0.7,0.7,1.2,2,11.4,0.296,0.77,
"Bogdan Bogdanović",14.7,2.3,6.3,2.2,2.7,0.7,4.7,1.3,0.3,2.1,2.7,17.2,0.371,0.828,
"Bojan Bogdanović",14,2.3,5.6,3.2,3.9,0.5,2.1,0.9,0.1,1.8,2,19,0.409,0.825,
"Andrew Bogut",8.7,0.5,1.5,1.2,1.5,2.9,3,0.9,1.5,2.5,5.1,10.2,0.35,0.765,
"Jonah Bolden",10,1.9,5.3,1.1,1.9,2.5,2.6,1,1.9,2,5,12.9,0.362,0.596,
"Isaac Bonga",11.8,1,3.7,2.7,3.9,2.1,4.1,1.9,1,1.9,2.8,12.4,0.273,0.699,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Devin Booker",19.7,2.3,6.5,5.9,6.8,0.6,6,0.9,0.3,3.8,3.1,26.5,0.355,0.868,
"Chris Boucher",15,2.2,6.5,2.8,3.4,2.5,2.1,1.2,3,1.8,4.9,18.6,0.335,0.816,
"Avery Bradley",12.9,1.7,4.8,1.1,1.4,0.8,2.7,1,0.3,1.9,2.9,13.7,0.359,0.802,
"Tony Bradley",13.6,1.3,3.6,2.4,3.1,3.1,3.1,1.2,0.9,2.1,3.4,16.4,0.36,0.759,
"Corey Brewer",9.7,1,3.4,2,2.8,1.4,2.5,2.1,0.5,1.5,4.2,11.5,0.293,0.725,
"Mikal Bridges",8.7,1.6,4.6,1.5,1.9,0.9,2.7,1.9,0.6,1.1,2.9,10.8,0.345,0.806,
"Miles Bridges",11,1.4,4.3,1.4,1.8,1.5,2.2,1.2,1,1.1,2.4,13.4,0.34,0.765,
"Isaiah Briscoe",9.9,1,2.8,1.4,2.1,0.6,5.3,0.8,0.3,2,3.9,10.8,0.345,0.657,
"Ryan Broekhoff",10.9,2.7,6.7,1.6,2,0.9,2.3,0.7,0.4,1.5,2.9,14.1,0.397,0.778,
"Malcolm Brogdon",13.8,1.8,4.5,2.5,2.7,1.1,4.2,1,0.3,1.8,2.4,18,0.414,0.904,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Dillon Brooks",12.2,1.5,4.1,2.1,2.8,0.9,2.2,1.1,0.3,1.9,3.8,14.4,0.368,0.752,
"MarShon Brooks",15.6,1.8,5.1,2.5,3.3,1.3,3,1.1,0.5,2.2,2.8,18.5,0.349,0.746,
"Bruce Brown",8.3,0.7,2.5,1.3,1.7,1.3,2.5,1,0.9,1.2,4.2,9,0.285,0.76,
"Jaylen Brown",14.1,1.9,5,2.5,3.8,1.2,2,1.2,0.6,1.9,3.3,17.8,0.37,0.669,
"Lorenzo Brown",12,1.2,4.5,1.3,1.6,1,4.1,1.6,0.7,2.2,3.2,11.8,0.263,0.813,
"Sterling Brown",10.8,1.8,4.8,1.2,1.6,1.1,2.6,1.1,0.4,1.5,3.2,12.8,0.365,0.744,
"Troy Brown",11.8,1.2,3.6,1.8,2.6,1.7,4,1.1,0.3,1.5,2.7,13.5,0.341,0.716,
"Jalen Brunson",12.8,1.5,4.1,2.1,2.8,0.7,5.2,0.9,0.2,2,2.8,15.8,0.358,0.738,
"Thomas Bryant",12.2,0.9,2.6,2.6,3.4,2.6,2.4,0.7,1.6,1.5,3,18.4,0.338,0.782,
