"Player","FG","FGA","3P","3PA","FT","FTA","TRB","AST","STL","BLK","TOV","PF","FG%","3P%","FT%"
"Dusty Hannahs",13.7,1.5,5,2.7,3.4,1.3,4.1,1.2,0.6,2,2.9,16,0.293,0.796,
"Tim Hardaway",16.7,2.7,7.9,3.5,4.3,0.6,2.9,1,0.2,1.8,2.4,19.9,0.338,0.828,
"James Harden",22.1,4.2,11.5,9,10.4,0.8,8,1.8,0.7,4.8,2.9,32.7,0.364,0.868,
"Maurice Harkless",9.8,1.1,3.2,1.3,1.9,1.8,1.9,1.6,1.3,1.2,3.7,12,0.332,0.686,
"Montrezl Harrell",14.7,0.1,0.5,4.2,6.4,3,2.6,1.1,1.7,2.1,4.1,22.4,0.265,0.646,
"Devin Harris",12,2,6.3,3.4,4.4,0.5,4,1.2,0.5,2,4.3,14.8,0.319,0.786,
"Gary Harris",13.9,2.1,5.5,2.4,2.9,0.8,3,1.5,0.3,1.6,2.2,17.2,0.374,0.807,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Joe Harris",11.7,2.8,6.2,1.7,2.1,0.9,2.7,0.7,0.3,1.8,2.9,15.9,0.449,0.819,
"Tobias Harris",15.8,2.1,5.2,3,3.5,0.9,2.8,0.8,0.5,1.7,2.3,20.3,0.398,0.854,
"Andrew Harrison",11,1.2,4,3.3,4.2,0.8,4.7,1.1,0.6,2.2,4.2,13.4,0.307,0.8,
"Shaquille Harrison",11,0.7,2.5,2.2,3.2,0.9,3.7,2.2,0.7,1.6,3.2,12.7,0.284,0.688,
"Josh Hart",9.8,1.9,5.4,1.4,2,0.9,2.1,1.3,0.7,1.2,2.9,11.9,0.359,0.707,
"Isaiah Hartenstein",9.5,0.9,2.6,2.2,2.8,2.7,3,1.2,1.5,2,6.4,12.4,0.364,0.784,
"Udonis Haslem",12.7,0.9,4.6,2,2.8,1.5,2.6,0.7,0.5,1.9,3.5,12.9,0.206,0.727,
"Gordon Hayward",13.1,1.6,4.6,3.3,4,1,4.4,1.2,0.4,2,2,17.1,0.347,0.832,
"John Henson",10.1,0.4,1.3,1.8,2.9,2.7,2.3,0.9,1.9,1.7,3.7,13,0.343,0.613,
"Juan Hernangómez",9,1.8,4.9,1.9,2.4,1.8,1.7,0.8,0.6,1.1,2.6,11.7,0.366,0.774,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Willy Hernangómez",12.8,0.6,1.7,3.9,5.6,4.6,2.7,0.9,0.9,2.5,4.2,18.1,0.381,0.7,
"Mario Hezonja",13.5,1.6,5,2.3,2.9,0.9,2.6,1.7,0.5,2.3,3.1,15.5,0.315,0.785,
"Isaiah Hicks",11.7,1,2.8,2.5,3.3,1.6,3,0.8,1,2.1,4.6,14.4,0.341,0.746,
"Buddy Hield",17.7,3.5,8.2,2,2.3,1.3,2.8,1,0.4,2,2.7,21.6,0.426,0.876,
"Haywood Highsmith",12.4,1.6,4.7,2.2,3.1,1.3,3.4,1.1,0.6,1.8,2.6,15.2,0.335,0.69,
"Nenê Hilário",10.1,0.2,0.7,2.6,4.1,2.3,2.1,1.3,0.9,1.5,5.4,13.6,0.293,0.638,
"George Hill",10.9,1.5,4.3,2.2,2.8,1,3.8,1.3,0.4,1.6,2.8,13.6,0.356,0.801,
"Solomon Hill",8,1.3,4.2,1.3,1.7,1.3,2.5,1,0.5,1.4,3.2,8.8,0.322,0.745,
"Aaron Holiday",14.3,2.3,6.6,2.4,3,0.5,4.7,1.2,0.7,2.2,3.7,16.8,0.35,0.814,
"Jrue Holiday",16.3,1.7,5,2.7,3.5,1,7,1.6,0.8,2.9,2.3,19.9,0.331,0.768,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Justin Holiday",11.4,2.3,6.5,1.6,1.9,0.6,2.2,1.5,0.5,1.5,2.3,12.7,0.35,0.853,
"John Holland",12.6,1.8,5.4,2.2,3,1.4,2.6,1.2,0.6,2,2.7,14.1,0.333,0.742,
"Rondae Hollis-Jefferson",13.5,0.3,1.5,3.9,5.4,2.1,3,1.3,0.8,2.1,3,16.3,0.24,0.723,
"Richaun Holmes",11.5,0.3,0.9,3.2,4.4,3.1,2.2,1.2,2,1.5,5.2,16.9,0.288,0.726,
"Rodney Hood",14,2,5.5,2.5,2.9,0.5,2.4,1.1,0.3,1.3,2.7,16.7,0.369,0.864,
"Al Horford",12.8,1.4,3.7,1.5,1.9,1.9,5.1,0.9,1.4,2,2.3,15.9,0.375,0.799,
"Danuel House",10.1,2.4,6.1,2.2,2.7,1,1.9,0.8,0.5,1.3,2.8,14,0.394,0.791,
"Dwight Howard",12.4,0.1,0.4,4.4,7.7,3.7,1.6,0.8,1.6,2.9,3.8,18.4,0.317,0.572,
"Kevin Huerter",11.6,2.4,6.1,0.9,1.2,1.1,3.9,1.2,0.5,1.9,2.7,13.4,0.397,0.751,
"Isaac Humphries",13.3,1.8,5.3,2,2.6,1.8,2.8,1,0.6,1.5,3.4,15.2,0.338,0.775,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"R.J. Hunter",13.9,2.2,6.3,2.3,3.1,1.3,3.5,1.3,0.6,1.8,3.4,17,0.345,0.754,
"Chandler Hutchison",9.2,0.8,2.4,1.2,1.8,1.3,1.8,1,0.3,1.2,2.4,10.6,0.312,0.661,
"Serge Ibaka",14.8,1.3,3.9,2.1,2.7,2.2,1.6,0.6,1.7,1.9,3.6,18.4,0.332,0.776,
"Andre Iguodala",7.4,1,3.2,1.1,1.8,1.1,4.7,1.3,1,1.3,2.2,9.2,0.32,0.625,
"Ersan İlyasova",12.3,1.8,5.2,2.1,2.6,2.4,1.9,1.1,0.5,1.6,4.2,14.7,0.356,0.793,
"Joe Ingles",10.7,2.6,6.5,1.2,1.6,0.5,5.9,1.3,0.3,2.5,2.6,13.4,0.404,0.731,
"Andre Ingram",12.6,1.7,4.8,2.2,2.8,1.4,3.3,1.3,0.8,2.1,2.6,14.4,0.347,0.784,
"Brandon Ingram",14,0.8,2.2,3.6,5.3,1,3.5,0.7,0.7,2.5,2.9,18.2,0.354,0.686,
"Kyrie Irving",19.9,2.8,7,3.8,4.3,1,6.7,1.5,0.5,2.7,2.6,26,0.404,0.879,
"Jonathan Isaac",11,1.5,4.6,2,2.5,1.7,1.6,1.2,1.8,1.4,2.6,13.2,0.338,0.812,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Wesley Iwundu",8.4,0.8,2.3,2.2,2.7,1.2,2.3,1,0.6,1.3,3.3,10.1,0.339,0.799,
"Demetrius Jackson",12.3,1.5,4.4,2.5,3.1,1.7,3.9,1.4,0.6,2.3,3.1,15.6,0.337,0.789,
"Frank Jackson",13.7,1.7,5.1,1.8,2.4,0.9,2.4,0.8,0.2,1.5,2.8,15.8,0.331,0.754,
"Jaren Jackson",13.9,1.3,3.5,3.6,4.6,1.8,1.8,1.3,1.9,2.2,4.9,19.3,0.373,0.777,
"Josh Jackson",15.6,1.3,4,2.9,4.3,1.4,3,1.4,0.9,2.9,3.7,17.5,0.318,0.671,
"Justin Jackson",10.7,1.8,5.1,1.3,1.6,0.9,2.2,0.7,0.3,0.8,2.1,12.8,0.35,0.779,
"Reggie Jackson",16.5,2.4,6.6,3.2,3.7,0.8,5.7,0.9,0.2,2.5,3.1,19.5,0.359,0.854,
"LeBron James",19.1,1.9,5.4,4.7,6.9,1.1,8.3,1.3,0.7,3.9,1.8,26.4,0.345,0.684,
"Amile Jefferson",11.9,1.2,3.4,3,3.7,2,3.1,1.3,1,1.6,3.4,16,0.359,0.805,
"John Jenkins",12,2.2,5.8,2,2.5,0.9,2.8,0.4,0.4,1.3,1.7,14.3,0.373,0.805,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Jonas Jerebko",10.5,1.9,5.2,1.7,2.2,1.9,2.4,0.8,0.5,1.2,4,13.2,0.373,0.79,
"Alize Johnson",12.1,1.4,3.7,2.6,3.8,1.8,2.9,1,1,1.5,3.3,14.3,0.377,0.686,
"Amir Johnson",9.5,0.7,2,1.8,2.7,3.1,3.7,1.2,1.1,2.2,5.7,12.3,0.326,0.69,
"B.J. Johnson",13.3,1.8,4.8,2.4,3,1.5,2.9,1.2,0.6,1.9,3,16.9,0.38,0.798,
"James Johnson",11.9,1.4,4.2,1.9,2.7,1,4.5,1.2,0.9,2.5,3.5,14.3,0.326,0.707,
"Stanley Johnson",11.8,1.6,5.3,1.8,2.3,0.9,2.6,1.8,0.4,2,3.2,12.7,0.3,0.777,
"Tyler Johnson",12.6,2,5.6,2.3,2.9,0.8,3.6,1.2,0.6,1.7,2.5,15,0.358,0.773,
"Wesley Johnson",9.3,1.5,4.7,1.1,1.5,0.9,1.7,1.4,1.2,1.3,3.8,9.8,0.325,0.725,
"Nikola Jokić",16.3,1.3,3.8,4,4.8,3.2,7.7,1.5,0.8,3.3,3.2,22.3,0.346,0.832,
"Damian Jones",8.5,0.4,1.2,2.2,3.2,2.4,2.6,1,1.8,1.6,4.8,12.8,0.364,0.676,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Derrick Jones",10.1,0.9,2.9,2.4,3.7,2.9,1.5,1.3,1.3,1.3,3.7,13.4,0.316,0.643,
"Jalen Jones",12,1.7,4.8,2.8,4,1.9,2,1.3,0.5,1.6,4,14.9,0.367,0.713,
"Jemerrio Jones",11,1.2,3.7,1.6,2.1,2.7,3.5,1.4,1,1.7,2.8,12.2,0.314,0.743,
"Terrence Jones",13.6,0.9,3.1,2.8,4.3,1.7,2.4,1.1,1.2,1.7,2.4,16.2,0.297,0.651,
"Tyus Jones",9.7,1.1,3.1,1.6,1.9,0.6,6.9,2,0.2,1.3,2.1,11.2,0.341,0.844,
"DeAndre Jordan",8.3,0.1,0.2,3,4.7,4.1,2.3,0.7,1.2,2.4,3,13.6,0.345,0.634,
"Cory Joseph",10,1,3,0.9,1.2,0.7,5,1.5,0.4,1.5,2.3,10.4,0.336,0.738,
"Frank Kaminsky",14.1,2.2,5.9,3.2,4.1,1.3,2.9,0.7,0.5,1.6,2.5,17.8,0.365,0.769,
"Enes Kanter",14.8,0.2,0.8,3.4,4.3,5.3,2.4,0.7,0.7,2.5,3.6,20.2,0.297,0.803,
"Luke Kennard",12.5,2.4,6,1.5,1.8,0.5,3,0.8,0.3,1.5,2.3,15.2,0.407,0.839,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Michael Kidd-Gilchrist",10.5,0.3,0.9,2.6,3.5,2.2,1.8,1,1,1.2,3.7,13.2,0.338,0.747,
"George King",12.8,1.6,4.6,2.6,3.3,1.5,3.6,1.1,0.7,2,3,16.1,0.359,0.769,
"Maxi Kleber",9.5,1.7,4.8,1.5,1.9,2.1,1.8,0.9,1.7,1.2,3.4,11.9,0.345,0.773,
"Brandon Knight",13.5,1.8,5.7,2,2.5,0.7,3.6,1,0.2,1.8,3,14.5,0.323,0.809,
"Kevin Knox",15,2.1,5.9,2.8,3.8,1.1,1.6,0.8,0.4,1.9,2.8,16.6,0.359,0.733,
"Furkan Korkmaz",13,2.4,7,2,2.5,1,3,1.5,0.2,1.4,3.3,15.3,0.339,0.802,
"Luke Kornet",13.1,3,8.2,1.8,2.2,1.3,2.8,1.2,1.8,1.3,2.2,15.3,0.368,0.808,
"Kyle Korver",12.2,3.5,8.6,1.5,1.8,0.3,2.2,0.7,0.4,1.5,2.9,15.4,0.403,0.833,
"Kosta Koufos",10.6,0.2,0.5,1,2,3.4,2.3,1.1,1,1.6,4.1,12.3,0.357,0.513,
"Rodions Kurucs",12.5,1.7,5,2.1,2.7,1.6,1.7,1.2,0.7,2.1,3.8,15.5,0.331,0.791,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Kyle Kuzma",16.3,2.1,6.4,2.7,3.6,1.1,2.6,0.7,0.5,2,2.5,19.9,0.333,0.746,
"Skal Labissière",12.6,0.8,2,2.7,3.5,2.5,2.3,0.9,1.2,2.1,4,15.5,0.388,0.751,
"Jeremy Lamb",15.4,1.8,5,3.5,4,1,3,1.3,0.6,1.4,2.4,19.1,0.353,0.875,
"Zach LaVine",18.1,2.1,5.5,4.8,5.8,0.7,4.4,1,0.4,3.1,2.4,23.7,0.377,0.832,
"Jake Layman",11.7,1.6,4.9,1.5,2,1.5,1.7,0.9,0.8,1.3,3.1,14.6,0.325,0.72,
"T.J. Leaf",12.2,1,2.9,1.4,2.2,2.6,1.8,0.7,1,1,2.7,15.2,0.346,0.669,
"Courtney Lee",11.4,1.6,4.3,1.6,1.9,0.7,2.8,1.3,0.3,1.3,2.1,13.3,0.372,0.843,
"Damion Lee",12.8,2,5.8,2,2.5,1,2.1,1.4,0.2,1.3,2.6,15.3,0.355,0.806,
"Walt Lemon",16,1.1,2.8,2.2,2.9,1.1,5.1,1.7,0.5,2.2,3.2,17.6,0.377,0.748,
"Alex Len",13.2,1.1,3.1,3.5,5.2,3.8,2.1,0.7,1.6,2.2,4.5,18,0.365,0.674,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Kawhi Leonard",19.4,2,5.4,6.2,7.3,1.3,3.6,1.9,0.5,2.2,1.7,27.2,0.369,0.855,
"Meyers Leonard",10.6,2,4.7,1.7,2.1,1.7,2.9,0.6,0.4,1.7,4.3,14.6,0.419,0.83,
"Jon Leuer",11.2,0.6,2.3,2.2,2.7,2,1.9,0.9,0.5,1.8,4,14.2,0.27,0.791,
"Caris LeVert",14.8,1.7,5,2.7,3.8,1.1,5.2,1.5,0.5,2.5,2.8,17.4,0.334,0.71,
"Damian Lillard",19.2,3,8.1,6.1,6.7,0.9,6.6,1.1,0.4,2.7,1.9,26,0.366,0.909,
"Jeremy Lin",13.8,1.5,4.8,4.3,5.1,0.6,5.7,1.2,0.4,3.1,3.6,17.9,0.306,0.832,
"Shaun Livingston",9.3,0.1,0.5,1.6,2,1.3,4.1,1.1,0.8,1.6,3.2,11,0.287,0.781,
"Zach Lofton",13.2,1.7,4.9,2.6,3.4,1.5,3.6,1.3,0.7,2.3,3,16.2,0.341,0.768,
"Kevon Looney",8.7,0.2,0.6,1.7,2.7,4.2,2.8,1.2,1.5,1.3,4.7,12.3,0.273,0.625,
"Brook Lopez",13.9,2.6,7.4,2.2,2.8,0.9,2,0.7,2.4,1.7,3.2,17.5,0.356,0.791,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Robin Lopez",12.6,0.2,0.7,1.8,2.4,3,2.2,0.3,1.5,2.1,2.6,15.5,0.276,0.731,
"Kevin Love",16.1,2.9,7.5,5.2,5.9,2.2,2.5,0.8,0.4,2.2,2.8,21.8,0.382,0.88,
"Kyle Lowry",12.8,2.8,7.7,3,3.6,0.8,8.2,1.4,0.4,2.8,2.8,16.5,0.367,0.831,
"Jordan Loyd",12.9,1.9,4.9,3.5,4.4,1.3,3.8,0.9,0.6,1.9,3.1,17.3,0.397,0.79,
"Kalin Lucas",13,1.6,4.8,2.9,3.7,1.5,3.7,1.1,0.7,2,3.2,16.3,0.338,0.791,
"Timothé Luwawu-Cabarrot",11.8,2,6,2.1,2.7,0.7,2.1,0.9,0.4,1.5,4,13.5,0.329,0.792,
"Tyler Lydon",10.9,1.7,4.4,1.9,2.6,2,3.2,1,0.5,1.9,3.3,14,0.378,0.706,
"Trey Lyles",14.9,1.9,6,2.6,3.6,1.5,2.7,0.9,0.8,1.9,2.9,17.8,0.311,0.713,
"Scott Machado",13.1,1.7,4.5,2.6,3.3,1.4,3.9,1.2,0.7,1.9,3.2,16.8,0.382,0.779,
"Shelvin Mack",11.5,1.3,3.8,1.8,2.5,0.6,5.7,1.4,0.2,2.1,2.5,12.7,0.347,0.704,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Daryl Macon",12.4,1.8,4.6,2.3,3.2,1.3,3.4,0.9,0.5,2.2,3.1,15.1,0.396,0.713,
"J.P. Macura",13.8,1.6,5.1,2.4,3.1,1.4,3.8,1,0.7,1.9,2.8,16.5,0.308,0.772,
"Ian Mahinmi",8.3,0.3,1,2.8,4.1,3.5,1.9,1.5,1.2,2.4,6.2,11.4,0.274,0.688,
"Thon Maker",10,1.5,4.6,2.1,3,1.8,1.8,0.9,1.7,1.3,4.1,12.2,0.332,0.696,
"Boban Marjanović",14.1,0.4,1.1,5.3,6.9,4.2,2.8,0.9,1.3,3,4.6,21.7,0.368,0.761,
"Lauri Markkanen",16.2,2.6,6.9,3.2,3.8,1.6,1.7,0.8,0.7,1.7,2.3,20.2,0.373,0.863,
"Jarell Martin",11.1,1.2,3.3,1.8,2.4,1.9,1.9,0.8,1,1.7,4.7,12.8,0.356,0.781,
"Frank Mason",13.8,1.2,4.2,3.3,4.3,0.9,5.8,1.3,0.4,2.5,2.7,15.9,0.295,0.757,
"Yante Maten",13.1,1.6,4.6,2.5,3.2,1.7,3.5,1.3,0.7,1.9,2.8,16.1,0.349,0.773,
"Wesley Matthews",12,2.5,6.8,2,2.5,0.5,2.8,1.1,0.3,1.5,2.6,14.1,0.368,0.808,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Luc Mbah a Moute",8.6,1.3,3.6,1.5,2.3,0.7,1.4,1.5,0.6,1.5,2.6,11,0.361,0.678,
"Tahjere McCall",13.3,1.6,4.7,2.5,3.5,1.5,3.5,1.1,0.7,2,3.3,16.8,0.345,0.727,
"Patrick McCaw",8.1,1,3.2,1.3,1.6,0.8,2.9,1.6,0.4,1.5,2.8,9.3,0.307,0.801,
"CJ McCollum",18.5,2.4,6.3,2.6,3.1,0.8,3.3,0.9,0.5,1.8,2.4,21.9,0.386,0.838,
"T.J. McConnell",9.8,0.5,1.3,0.9,1.1,0.8,6.5,1.9,0.4,2.3,2.6,11.3,0.359,0.788,
"Doug McDermott",11.2,2,5,1.7,2,0.6,1.8,0.5,0.3,1.2,2.6,14.3,0.407,0.817,
"JaVale McGee",13.7,0.1,0.6,2.1,3.4,3.9,1.4,1,3,2.2,4.6,19,0.232,0.639,
"Rodney McGruder",10.4,1.7,4.9,1.2,1.7,1.4,2.6,0.9,0.3,1.4,2.7,11.6,0.353,0.708,
"Alfonzo McKinnie",10.4,1.6,4.3,1.2,2,2.7,1.5,0.7,0.6,1.2,4.6,12.8,0.357,0.616,
"Ben McLemore",12.8,2.1,5.7,2,2.5,1,1.8,1.2,0.5,1.9,4.1,15.1,0.374,0.777,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Jordan McRae",13.8,1.3,4.2,2.9,3.6,0.9,3.2,1.3,0.7,1.7,2.9,16.8,0.317,0.79,
"Jodie Meeks",12.8,2.3,6.3,2.8,3.3,0.6,2.5,1,0.3,1.4,2,15.8,0.361,0.849,
"Salah Mejri",8.8,0.6,1.9,1.9,3,3.4,2.3,1,2.4,1.9,5.2,11.8,0.323,0.622,
"De'Anthony Melton",9.9,1.2,3.6,1.1,1.4,1,5.7,2.4,0.8,2.6,3.9,10.5,0.327,0.767,
"Chimezie Metu",13.7,0.9,2.8,3,3.8,1.9,3.5,1.3,0.6,2.8,3.2,15.1,0.337,0.775,
"Khris Middleton",16.3,2.3,6.1,3.4,4,0.7,4.5,1.3,0.2,2.5,2.9,20.4,0.373,0.854,
"C.J. Miles",14.1,3.3,9.4,2.1,2.5,0.6,1.6,1,0.6,1.2,3.4,16.2,0.352,0.829,
"Darius Miller",9.8,2.7,7,1.2,1.5,0.4,2.7,0.7,0.4,1.2,3.2,11.9,0.378,0.807,
"Malcolm Miller",12.2,2.6,6.4,2.1,2.6,1.2,2.3,0.8,0.7,1.6,2.9,15.8,0.414,0.788,
"Patty Mills",12.3,2.8,7.3,1.7,2,0.5,4.4,1,0.2,1.8,2.4,14.9,0.385,0.854,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Paul Millsap",13.2,1.1,3.3,3.5,4.9,2.5,3,1.4,1.1,2,3.3,17,0.347,0.724,
"Shake Milton",12.3,1.8,5.4,1.5,1.9,1.4,3,1.1,1,1.3,3.5,13.8,0.339,0.758,
"Nikola Mirotić",15.5,3.1,8.6,2.8,3.4,1.6,1.8,1,1,1.5,2.9,19.6,0.366,0.826,
"Donovan Mitchell",20,2.6,7.1,4.1,5,0.8,4.4,1.5,0.4,2.9,2.8,24.4,0.364,0.811,
"Naz Mitrou-Long",11.7,1.5,4.8,2,2.6,1.2,4.6,0.9,0.6,2.5,3.5,13.6,0.312,0.795,
"Malik Monk",16.6,3.2,9.1,2.4,2.7,0.5,3.6,1,0.5,2.3,2.8,18.8,0.347,0.87,
"Greg Monroe",13.8,0.2,0.6,3.2,4.6,3.8,3.1,1.4,0.7,2.8,3.8,17.7,0.32,0.697,
"E'Twaun Moore",12.4,1.8,4.3,1,1.3,0.8,2.7,1,0.3,1.5,2.7,14.8,0.418,0.746,
"Eric Moreland",7.5,0.5,1.2,1,1.7,3,3.5,1.3,1.8,2.1,4.7,8.9,0.392,0.576,
"Jaylen Morris",12.7,1.4,4.2,1.9,2.6,1.2,3.6,1.2,0.6,2,2.3,14.7,0.336,0.742,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Marcus Morris",14.6,2.3,6.2,2.6,3.1,1.2,2,0.8,0.4,1.6,2.9,17.6,0.367,0.823,
"Markieff Morris",13.2,1.6,4.6,2.1,2.6,1.6,2.4,1.1,0.7,1.9,4.4,15.5,0.346,0.796,
"Monte Morris",12.8,1.7,4.2,1.3,1.7,0.7,5.4,1.4,0.1,1,1.9,15.9,0.415,0.804,
"Donatas Motiejūnas",12.3,1.2,3.7,2.3,3.6,1.8,3.1,1.1,0.8,2.5,4,14.5,0.321,0.63,
"Johnathan Motley",15,0.7,2.4,3.9,6.1,2.8,2.8,1.1,0.7,2.6,4.3,20.1,0.304,0.632,
"Emmanuel Mudiay",15.8,1.5,4.6,3.2,4.1,0.8,5.4,1.1,0.4,3,2.3,18.5,0.335,0.779,
"Jamal Murray",16.2,2.3,6.1,2.9,3.4,1.1,4.8,1.1,0.4,2.3,2.3,19.8,0.379,0.871,
"Džanan Musa",14.6,1.6,5.5,2.2,3.2,1.5,3.4,1.3,0.6,2.3,2.6,17.3,0.288,0.695,
"Mike Muscala",10.3,2.2,6.2,1.9,2.3,1.7,2.2,0.8,1,1.4,3.3,13,0.357,0.834,
"Sviatoslav Mykhailiuk",11.9,2.2,6.5,1.5,2.1,1,3.3,1.2,0.3,1.8,2.3,12.7,0.343,0.683,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Abdel Nader",11.2,1.7,4.9,1.6,2.3,0.9,1.6,1.1,0.7,1.7,3.3,12.6,0.336,0.714,
"Larry Nance",10,0.5,1.6,2,2.9,3.4,3.6,2,0.9,1.7,3.9,13.2,0.331,0.707,
"Shabazz Napier",14.2,2.3,6.7,3.4,4.1,0.7,4.4,1.7,0.5,2.3,2.3,17.3,0.349,0.829,
"Raul Neto",11.9,1.5,4.2,2.1,2.6,0.7,5.8,1.1,0.4,2.5,3.4,14.5,0.354,0.806,
"Georges Niang",12.8,2.6,6.6,1.7,2.1,1,2.8,0.9,0.5,1.8,3.6,16.2,0.393,0.803,
"Joakim Noah",10.7,0.3,0.8,3.3,4.8,3.2,4.2,1.1,1.4,2.5,4.7,14.2,0.333,0.687,
"Nerlens Noel",9.7,0.2,0.5,2,2.8,3.9,1.8,2.2,2.6,1.7,5,13.2,0.351,0.707,
"Dirk Nowitzki",15.6,2.5,7.2,1.9,2.3,0.4,2,0.7,0.8,1.1,3.1,17,0.346,0.83,
"Frank Ntilikina",11,1.3,4,1.1,1.5,0.7,5.1,1.3,0.5,2.4,3.8,10.6,0.317,0.757,
"James Nunnally",12.8,2.1,6.3,2.2,2.7,1,3.2,0.8,0.5,1.4,3.3,15.1,0.335,0.814,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Jusuf Nurkić",15.3,0.1,0.6,4.3,5.9,3.9,3.6,1.2,1.9,3.1,4.3,20,0.199,0.729,
"David Nwaba",9.7,0.7,2.2,2.5,3.7,1.7,2.2,1.3,0.6,1.4,3.6,12.5,0.332,0.676,
"Royce O'Neale",8.1,1.5,3.8,1.1,1.4,0.6,2.8,1.2,0.5,1.6,3.5,10.1,0.381,0.781,
"Kyle O'Quinn",11.5,0.3,1.1,2.2,2.8,3.1,4.3,1,2.4,2.6,5.2,14.7,0.243,0.777,
"Semi Ojeleye",8.4,1.5,4.6,1.3,2,1.3,1.4,0.7,0.3,1.1,2.7,9.8,0.327,0.65,
"Jahlil Okafor",14,0.2,0.7,2.5,3.6,2.8,1.8,0.6,1.5,2.1,3.8,18.6,0.328,0.689,
"Élie Okobo",11.2,1.5,4.9,1.6,2,0.6,4.7,1.2,0.3,2.5,3.9,12.5,0.314,0.79,
"Josh Okogie",10.6,1.3,4.4,2.5,3.4,0.9,2.1,1.8,0.7,1.3,3.3,12.4,0.298,0.743,
"Victor Oladipo",17.9,2.2,6.2,3.4,4.5,0.7,4.8,2,0.6,2.7,2.4,21.9,0.359,0.769,
"Kelly Olynyk",11.8,2.1,5.9,2.8,3.5,1.6,3.3,1.1,0.7,2.5,3.9,16.3,0.361,0.798,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Cedi Osman",12.2,1.9,5.3,2.1,2.7,0.8,2.9,0.9,0.2,1.7,3,14.7,0.357,0.762,
"Kelly Oubre",14.1,2,5.9,3.2,4.1,1.2,1.7,1.5,0.9,1.7,3.5,17.7,0.333,0.792,
"Zaza Pachulia",9,0.2,0.5,3.3,4.2,3.5,3.7,1.3,0.7,2.5,5.3,12.2,0.282,0.782,
"Jabari Parker",15.7,1.4,4,2.7,3.7,1.7,3.2,1,0.6,2.8,2.8,19.7,0.338,0.729,
"Chandler Parsons",12.8,2.1,6.1,1.5,2,0.6,3.3,1.2,0.5,2,3,14,0.344,0.785,
"Patrick Patterson",8.9,1.9,5.3,1.1,1.5,1.4,1.6,1,0.6,1,2.3,10,0.356,0.737,
"Justin Patton",13.1,1.5,4.5,2.6,3.4,1.8,3.9,1.5,0.7,1.8,3.7,16,0.336,0.746,
"Chris Paul",14.5,2.5,6.8,3.6,4.1,0.7,8.8,2,0.3,2.8,2.8,18.6,0.363,0.875,
"Cameron Payne",12.2,1.6,4.7,1.5,1.9,0.9,5.5,1.4,0.5,2.2,3.1,13.5,0.336,0.79,
"Elfrid Payton",12.7,0.8,2.6,2,2.8,1.4,8.3,1.4,0.5,3.1,2.6,14.6,0.322,0.704,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Gary Payton",12.6,1.3,4.2,1.6,2.4,1.7,3.8,1.4,0.8,1.9,3.7,14.3,0.318,0.668,
"Theo Pinson",12.8,1.9,6.4,3,3.7,1.1,3.7,1.1,0.3,2.6,2.8,15.3,0.298,0.827,
"Mason Plumlee",9.6,0.1,0.4,2.3,4.3,3.2,4.6,1.3,1.6,2.5,4.8,13.5,0.291,0.545,
"Miles Plumlee",8.7,0.3,0.8,1.8,3.3,2.8,2.4,0.9,1,2.3,3.3,11.9,0.358,0.552,
"Jakob Pöltl",8.8,0.1,0.3,1.5,2.6,4.4,2.2,0.9,2,1.6,4,12.8,0.375,0.581,
"Quincy Pondexter",9.3,1,3.3,3.4,4.3,1.2,2.9,1.3,0.3,1.8,3.3,12.6,0.298,0.8,
"Otto Porter",13.2,2.1,5,1.7,2,1.4,2.4,1.7,0.6,1.2,2.3,16.6,0.422,0.818,
"Bobby Portis",16.9,1.9,5,2.3,3,3.1,2.3,1,0.5,2,3.5,20,0.384,0.782,
"Dwight Powell",10.3,0.8,2.5,3.6,4.8,2.9,2.3,1.2,0.9,1.4,4.1,16.4,0.317,0.758,
"Norman Powell",12.8,2,5.5,2,2.4,0.6,2.9,1.3,0.5,2.1,3.3,15.7,0.359,0.815,
,,,,,,,,,,,,,,,
